row	student	problem	outcome	KC
1	1	1298	1	184
2	1	1298	1	184
3	1	5738	0	111
4	1	5738	0	111
5	1	5738	1	111
6	1	1090	1	150
7	1	4692	0	124
8	1	4692	1	124
9	1	833	0	222
10	1	458	1	54
11	1	1549	1	96
12	1	935	1	246
13	1	1214	1	241
14	1	2227	0	99
15	1	1537	0	12
16	1	2442	1	1
17	1	3133	1	6
18	1	1233	0	234
19	1	4701	0	10
20	1	566	0	119
21	1	1250	1	164
22	1	2498	0	162
23	1	2624	1	163
24	1	2361	1	212
25	1	5766	1	25
26	1	5774	1	27
27	1	3146	1	77
28	1	8920	0	91
29	1	3633	0	114
30	1	3633	1	44
31	1	3633	1	214
32	1	13216	0	109
33	1	2642	0	58
34	1	2642	0	191
35	1	2642	0	191
36	1	2642	1	191
37	1	2642	1	188
38	2	2562	0	187
39	2	2562	0	187
40	2	5476	0	39
41	2	5476	0	39
42	2	3103	0	36
43	2	3103	0	36
44	2	3103	0	36
45	2	3103	0	36
46	2	3103	0	36
47	2	3103	0	36
48	2	3103	0	36
49	2	3103	0	36
50	2	3103	0	36
51	2	3103	0	36
52	2	3103	0	36
53	2	3103	0	36
54	3	1241	1	130
55	3	1149	1	17
56	3	3130	1	71
57	3	5773	1	18
58	3	1547	0	134
59	3	1547	1	134
60	3	2556	0	56
61	4	2512	0	72
62	4	5760	0	80
63	4	5760	0	80
64	4	5760	1	80
65	4	2556	0	56
66	4	3146	0	77
67	4	3146	0	86
68	4	3146	1	86
69	4	3146	1	135
70	4	3146	0	157
71	4	3146	0	157
72	4	3146	0	157
73	4	3146	1	157
74	4	5774	1	27
75	4	3633	0	114
76	4	3633	0	44
77	4	3633	0	44
78	4	3633	0	44
79	4	3633	0	44
80	4	3633	1	44
81	4	3633	0	214
82	4	3633	0	214
83	4	3633	0	214
84	4	3633	1	214
85	4	3103	0	36
86	4	3110	0	70
87	4	3110	0	104
88	4	9243	0	93
89	4	9243	1	93
90	4	9249	1	217
91	4	3130	1	159
92	4	8788	1	230
93	4	8777	0	244
94	4	8723	0	216
95	4	8704	1	62
96	4	8789	0	66
97	4	8789	1	65
98	4	8789	0	46
99	4	8789	0	46
100	4	8789	1	46
101	4	8770	1	3
102	4	8783	0	208
103	4	8783	0	205
104	4	8783	1	205
105	4	8783	1	103
106	4	8783	1	138
107	4	8716	1	125
108	4	8920	0	91
109	4	3633	0	114
110	4	3633	0	44
111	4	3633	0	44
112	4	3633	0	44
113	4	3633	0	44
114	4	3633	1	44
115	4	2543	0	231
116	4	2608	0	92
117	4	2608	0	92
118	4	517	0	53
119	4	1048	1	107
120	4	898	0	195
121	4	3633	1	114
122	4	2642	0	58
123	4	2642	0	191
124	4	2642	1	191
125	4	2642	0	188
126	4	2642	0	188
127	4	2642	0	188
128	4	2642	1	188
129	4	13230	1	139
130	4	5738	0	111
131	4	5738	0	111
132	4	5738	1	111
133	4	333	0	186
134	4	333	0	228
135	4	333	1	228
136	4	333	1	251
137	4	333	0	60
138	4	333	0	60
139	4	333	1	60
140	4	9117	1	15
141	4	13219	1	236
142	4	49	0	76
143	4	49	1	121
144	4	49	1	79
145	4	49	0	2
146	4	49	0	2
147	4	49	1	2
148	4	898	0	195
149	4	5774	0	27
150	4	5774	1	27
151	5	630	1	133
152	5	1206	0	49
153	5	2247	0	87
154	5	5756	0	170
155	5	5756	1	170
156	5	1250	1	164
157	5	5440	1	57
158	5	3114	0	88
159	5	2608	1	92
160	5	2562	0	187
161	5	2520	1	30
162	5	4690	0	11
163	5	3110	0	70
164	5	3110	0	104
165	5	3110	1	104
166	5	3110	0	126
167	5	3110	1	126
168	5	3110	0	189
169	5	3110	0	189
170	5	3110	1	189
171	5	1184	1	211
172	5	49	0	76
173	5	49	0	121
174	5	49	1	121
175	5	49	1	79
176	5	49	1	2
177	5	326	1	153
178	5	2526	0	141
179	5	2526	1	252
180	5	2526	0	69
181	5	2526	1	69
182	5	2526	1	16
183	5	1317	1	220
184	5	757	1	35
185	5	5774	0	27
186	5	5774	1	27
187	5	3146	1	77
188	5	3618	0	223
189	5	3630	0	38
190	5	3630	0	38
191	5	3630	0	38
192	5	3630	1	38
193	5	3630	1	225
194	5	2642	0	58
195	5	2642	0	191
196	5	2642	1	191
197	5	2642	0	188
198	5	2642	1	188
199	5	5738	0	111
200	5	5738	0	111
201	5	5738	1	111
202	5	13230	0	139
203	5	13230	0	78
204	5	13230	1	78
205	5	13230	0	123
206	5	13230	1	123
207	5	9117	1	15
208	5	333	0	186
209	5	333	0	228
210	5	333	1	228
211	5	333	1	251
212	5	333	0	60
213	5	333	1	60
214	5	13219	1	236
215	5	49	0	121
216	5	49	1	121
217	5	49	1	79
218	5	49	0	2
219	5	49	0	2
220	5	49	1	2
221	5	626	0	240
222	5	349	0	61
223	5	2654	0	148
224	5	2744	0	248
225	5	1069	0	181
226	5	1597	1	84
227	5	3130	0	159
228	5	3130	1	159
229	5	2629	0	161
230	5	2629	0	161
231	5	2629	1	161
232	5	733	0	74
233	5	2363	0	254
234	6	2538	0	128
235	6	9243	0	93
236	6	9243	1	93
237	6	9249	1	217
238	6	3130	1	159
239	7	2548	1	158
240	7	1327	0	253
241	7	1327	0	253
242	7	906	0	201
243	7	2477	0	127
244	7	5704	0	172
245	7	1233	0	234
246	7	2590	0	75
247	7	2661	0	152
248	7	2661	0	152
249	7	1184	0	211
250	7	1262	1	47
251	7	3121	1	21
252	7	1133	0	238
253	7	3157	0	194
254	7	1524	0	218
255	7	1167	0	235
256	7	1098	0	19
257	7	1246	0	51
